Time	realtime	Platform	AlgorhithmStage	AutoDoserStatus	StandardProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	WaterLevel	EPS_Error	ADS_detergentTime	ADS_SofternerTime	FinalRpm	FinalRpm0	ForbiddenRpmH	Load	ADS_Pump	HandledError	Heater	I1	Inertia	InertiaAccumulator	InertiaSamples	MotorSetPoint	PumpAir	Ionizer	IsSpinFinished	ADS_Valve	MaxAddTime	MaxRed	MaxRpm	Mode_ID	IPMTemperature	MotorPower	MotorSpeed	MotorState	NTC	NTC_Error	Motor_temp	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	Peak600	PlannedStage	PumpDrain	DiverterValve	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	St8Rpm1	SpinState	SpinTimer	St10Time2	St9Rpm1	StandBy	motor_ramp	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	runstep	EPS	ADS_RS1	ForbiddenRpmL	IFull	ADS_RS2	X_RMS	Y_RMS	Z_RMS	ADS_RS3	NTUVoltage	NTU	ADS_RemainDeterMin	ADS_RemainDeterMAX	DrumOffset_Hight	DrumOffset_Low	WashStep	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	OverFlowDetection	InitialParameter0	MotorView	LineVoltage	ADS_RemainSofMin	ADS_RemainSofMAX	Motor_current	MotorDrivePower	Motor_DriveCurrent	DCVolatage	MCU_SW_version	UI_SW_version	PMCUHW_version	WT_Version	WT_CheckSum	VersionCode	SW_Revision	CustomerVersionCodeP	MAT_version	Machine_No	PCU_SW_version	ADS_TankA_statues	ADS_TankB_statues	TankBType	WaterFlowCaculatedFlag	ADS_DetergentPW_ML	ADS_DetergentMW_ML	ADS_SoftenerML	3D_Current_Value_X	3D_Current_Value_Y	3D_Current_Value_Z	3D_Init_Value_X	3D_Init_Value_Y	3D_Init_Value_Z	3D_Limits_F1_X	3D_Limits_F1_Y	3D_Limits_F1_Z	WaterConsumptionMLdivide10	WaterFlowRateMLperS	PowerConsumptionWS	SetDirection	waterlevel_EnforceFlag	NTC_EnforceFlag	3Dsensor_EnforceFlag	ADSswitch_EnforceFlag	EnforceFlag4	EnforceFlag5	EnforceFlag6	EnforceFlag7	3DReduction	workFlag2	workFlag3	workFlag4	workFlag5	workFlag6	workFlag7	
2024-10-04 09:58:56.55	0:00:03.141698	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	42	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:58:57.53	0:00:04.120001	8	0	0	Eco40_60	0	0	0	0	0	0	6	-16.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	42	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6277	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:58:58.51	0:00:05.100362	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	42	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:58:59.53	0:00:06.125253	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:00.52	0:00:07.111515	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:01.52	0:00:08.116342	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:02.55	0:00:09.145222	8	0	0	Eco40_60	0	0	0	0	0	0	6	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	0	0	0	0	0	0	0	0	0	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	0	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:03.51	0:00:10.108155	8	0	0	Spin	0	0	0	0	3	0	5	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.2	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	1	0	0	0	0	0	0	0	17	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	1	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:04.54	0:00:11.129575	8	0	0	Spin	0	0	2	0	3	0	3	-13.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.1	0	11	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	2	0	0	0	0	0	0	0	17	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	1	6265	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2024-10-04 09:59:05.53	0:00:12.125683	8	0	0	Spin	0	0	2	0	3	0	8	-16.7	0	0	0	1550	1400	1050	0	0	0	0	3500	0	0	0	0	0	1	0	0	0	30	1550	0	41	0	0	0	25.1	0	40	0	0	0	0	0	1	0	0	0	0	0	65535	84	0	21	0	1200	1000	0	0	0	0	0	8	0	0	400	0	0	150	600	2	0	0	0	0	0	0	0	17	1	0	0	1000	289	1200	1000	289	1000	1000	98	289	21	1200	0	0	0	0	0	0	0	0	1	6277	1	1050	1000	1	0	0	0	1	0	0	0	0	100	125	59	1	18	0	0	0	238	0	0	0	0	0	0	000.000.028	001.000.025	4	000.003.010	0	916768_0	48	ENWM76/1A-6-9-S-I-W	3.5.5.5		001.000.079	0	0	5	1	0	0	0	0	0	0	12	7	7	32767	6650	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
