Unnamed: 0,id Num,date,problem,MDC,citation Issued,person Search,vehicle Search,pre Race,race,gender,lat,long,police Precinct,neighborhood
,idNum,date,problem,MDC,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,policePrecinct,neighborhood
6823.0,17-000003,2017-01-01 00:00:42,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.96661711,-93.24645826,1,Cedar Riverside
6824.0,17-000007,2017-01-01 00:03:07,suspicious,MDC,,NO,NO,Unknown,Unknown,Male,44.98045,-93.27134,1,Downtown West
6825.0,17-000073,2017-01-01 00:23:15,traffic,MDC,,NO,NO,Unknown,White,Female,44.94835,-93.27538,5,Whittier
6826.0,17-000092,2017-01-01 00:33:48,suspicious,MDC,,NO,NO,Unknown,East African,Male,44.94836,-93.28135,5,Whittier
6827.0,17-000098,2017-01-01 00:37:58,traffic,MDC,,NO,NO,Unknown,White,Female,44.9790778,-93.26207579,1,Downtown West
6828.0,17-000111,2017-01-01 00:46:48,traffic,MDC,,NO,NO,Unknown,East African,Male,44.98053512,-93.26362691,1,Downtown West
6829.0,17-000114,2017-01-01 00:48:46,suspicious,MDC,,NO,NO,Unknown,Black,Male,44.98080828,-93.27314066,1,Downtown West
6830.0,17-000120,2017-01-01 00:50:55,traffic,MDC,,NO,NO,Unknown,Other,Female,44.9820925,-93.23815506,2,Marcy Holmes
6831.0,17-000127,2017-01-01 00:57:10,traffic,MDC,,NO,NO,Unknown,White,Male,44.99031863,-93.25204216,2,Nicollet Island - East Bank
6832.0,17-000139,2017-01-01 01:05:50,traffic,MDC,,NO,NO,Unknown,Black,Male,45.01327,-93.30824,4,Folwell
6833.0,17-000149,2017-01-01 01:09:13,suspicious,MDC,,NO,NO,White,Unknown,Male,44.9645834,-93.27658196,5,Steven's Square - Loring Heights
6834.0,17-000161,2017-01-01 01:15:01,traffic,other,,,,,,,44.97308,-93.24772,1,Cedar Riverside
6835.0,17-000169,2017-01-01 01:19:59,traffic,MDC,,NO,NO,Unknown,Black,Male,44.99871047,-93.2530799,2,St. Anthony East
6836.0,17-000176,2017-01-01 01:22:01,traffic,MDC,,NO,NO,Unknown,Black,Male,44.97957,-93.27257,1,Downtown West
6837.0,17-000204,2017-01-01 01:41:24,suspicious,MDC,,NO,NO,Unknown,White,Female,44.98045,-93.27134,1,Downtown West
6838.0,17-000211,2017-01-01 01:45:09,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.98078144,-93.27429567,1,Downtown West
6839.0,17-000220,2017-01-01 01:51:02,suspicious,MDC,,NO,NO,Unknown,White,Female,44.9915,-93.30572,4,Willard - Hay
6840.0,17-000224,2017-01-01 01:52:52,suspicious,other,,,,,,,44.98124,-93.27254,1,Downtown West
6841.0,17-000225,2017-01-01 01:53:42,traffic,MDC,,NO,NO,Unknown,White,Male,44.99871229,-93.25183571,2,Logan Park
6842.0,17-000236,2017-01-01 02:04:13,suspicious,MDC,,NO,NO,Black,Unknown,Male,44.94925,-93.29573,5,Lowry Hill East
6843.0,17-000244,2017-01-01 02:09:42,traffic,MDC,,NO,NO,Unknown,White,Male,44.99827813,-93.28172579,4,Near - North
6844.0,17-000266,2017-01-01 02:22:14,traffic,MDC,,YES,YES,Unknown,Black,Female,44.99738,-93.28799,4,Near - North
6845.0,17-000290,2017-01-01 02:33:22,suspicious,MDC,,YES,NO,Black,Black,Male,44.98074363,-93.28959927,4,Sumner - Glenwood
6846.0,17-000298,2017-01-01 02:36:22,traffic,MDC,,NO,NO,Unknown,White,Female,44.94836,-93.29065,5,CARAG
6847.0,17-000317,2017-01-01 02:45:38,traffic,MDC,,NO,NO,Unknown,White,Male,44.94836,-93.28555,5,Whittier
6848.0,17-000333,2017-01-01 02:53:15,traffic,MDC,,NO,NO,Unknown,Black,Male,44.99916,-93.29564,4,Near - North
6849.0,17-000347,2017-01-01 03:04:40,traffic,MDC,,NO,NO,Unknown,Unknown,Unknown,44.96091,-93.28801,5,Whittier
6850.0,17-000362,2017-01-01 03:14:37,traffic,MDC,,NO,NO,Unknown,East African,Male,44.94977,-93.3138,5,Cedar - Isles - Dean
6851.0,17-000365,2017-01-01 03:16:11,suspicious,other,,,,,,,45.01043723,-93.29305945,4,Hawthorne
6852.0,17-000380,2017-01-01 03:23:42,traffic,MDC,,NO,NO,Unknown,White,Male,44.96419791,-93.27857261,5,Steven's Square - Loring Heights
6853.0,17-000388,2017-01-01 03:26:59,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.95463641,-93.28131035,5,Whittier
6854.0,17-000395,2017-01-01 03:33:29,suspicious,MDC,,NO,NO,Black,Unknown,Unknown,45.02392802,-93.23903648,2,Audubon Park
6855.0,17-000414,2017-01-01 04:00:02,suspicious,other,,,,,,,44.97246,-93.26489,1,Elliot Park
6856.0,17-000421,2017-01-01 04:05:54,suspicious,other,,,,,,,44.9915029,-93.30508811,4,Willard - Hay
6857.0,17-000426,2017-01-01 04:20:33,suspicious,other,,,,,,,44.90900519,-93.21456322,3,Minnehaha
6858.0,17-000429,2017-01-01 04:27:38,traffic,MDC,,NO,NO,Unknown,White,Female,44.94473,-93.28814,5,Lyndale
6860.0,17-000473,2017-01-01 05:46:55,traffic,MDC,,NO,NO,Unknown,Asian,Male,45.01266897,-93.24734147,2,Windom Park
6861.0,17-000488,2017-01-01 06:47:07,suspicious,MDC,,NO,NO,Black,Unknown,Unknown,44.94044075,-93.27791575,5,Lyndale
6862.0,17-000522,2017-01-01 08:31:30,traffic,MDC,,NO,NO,Unknown,White,Female,45.00482,-93.29564,4,Jordan
6863.0,17-000536,2017-01-01 09:02:59,suspicious,MDC,,NO,NO,Black,Unknown,Male,44.97092,-93.25508,1,Downtown East
6864.0,17-000547,2017-01-01 09:48:36,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.938634,-93.24228094,3,Corcoran
6865.0,17-000549,2017-01-01 09:51:43,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.93773,-93.24058,3,Standish
6866.0,17-000571,2017-01-01 10:35:17,traffic,other,,,,,,,44.99914,-93.29105,4,Near - North
6867.0,17-000576,2017-01-01 10:41:29,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,45.04118133,-93.29786418,4,Lind - Bohanon
6868.0,17-000601,2017-01-01 11:49:49,suspicious,other,,,,,,,45.0212088,-93.28804287,4,McKinley
6869.0,17-000619,2017-01-01 12:43:26,suspicious,MDC,,YES,NO,Unknown,Black,Male,45.04842509,-93.29406668,4,Lind - Bohanon
6870.0,17-000628,2017-01-01 13:02:57,traffic,MDC,,NO,NO,Unknown,White,Male,44.94660001,-93.28366611,5,Lyndale
6871.0,17-000637,2017-01-01 13:24:55,suspicious,MDC,,NO,NO,Other,Other,Unknown,44.93769702,-93.28627059,5,King Field
6872.0,17-000639,2017-01-01 13:34:06,suspicious,MDC,,NO,NO,Other,Other,Unknown,44.93950519,-93.29265128,5,CARAG
6873.0,17-000646,2017-01-01 13:41:02,suspicious,MDC,,NO,NO,Other,Other,Unknown,44.94040713,-93.29200498,5,CARAG
6874.0,17-000651,2017-01-01 13:47:54,suspicious,other,,,,,,,45.03939592,-93.29015499,4,Lind - Bohanon
6875.0,17-000668,2017-01-01 14:38:12,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.92955277,-93.28438902,5,King Field
6876.0,17-000713,2017-01-01 15:36:30,suspicious,MDC,,YES,NO,Unknown,Native American,Male,44.95373,-93.25627,3,Midtown Phillips
6877.0,17-000715,2017-01-01 15:38:36,suspicious,MDC,,NO,NO,Black,Unknown,Male,44.96772584,-93.28135089,1,Loring Park
6878.0,17-000744,2017-01-01 16:46:47,traffic,other,,,,,,,44.8949328,-93.2781055,5,Windom
6879.0,17-000761,2017-01-01 16:57:17,traffic,MDC,,NO,NO,Unknown,Black,Female,44.99198,-93.29412,4,Near - North
6880.0,17-000824,2017-01-01 17:53:52,suspicious,other,,,,,,,45.02304272,-93.29058037,4,McKinley
6881.0,17-000828,2017-01-01 17:57:04,traffic,MDC,,NO,NO,Unknown,White,Female,44.97994,-93.23441,2,Marcy Holmes
6882.0,17-000837,2017-01-01 18:07:06,traffic,MDC,,NO,NO,White,White,Female,44.94836,-93.25505,3,Midtown Phillips
6883.0,17-000848,2017-01-01 18:27:18,suspicious,other,,,,,,,44.95777922,-93.21193648,2,Prospect Park - East River Road
6884.0,17-000878,2017-01-01 18:52:36,traffic,MDC,,NO,NO,Unknown,White,Male,44.99162624,-93.21137653,2,Mid - City Industrial
6885.0,17-000880,2017-01-01 18:53:44,traffic,MDC,,NO,NO,Unknown,East African,Male,44.9564318,-93.28550353,5,Whittier
6886.0,17-000894,2017-01-01 19:04:14,suspicious,MDC,,YES,YES,Unknown,Black,Female,44.99914804,-93.29181556,4,Near - North
6887.0,17-000899,2017-01-01 19:07:14,traffic,MDC,,NO,NO,Unknown,East African,Male,44.96269,-93.26895,3,Ventura Village
6888.0,17-001010,2017-01-01 20:16:32,traffic,MDC,,NO,NO,Black,Black,Female,44.95646,-93.24735,3,East Phillips
6889.0,17-001021,2017-01-01 20:29:19,traffic,other,,,,,,,44.94149948,-93.27431455,3,Central
6890.0,17-001061,2017-01-01 20:59:02,traffic,MDC,,NO,NO,Unknown,East African,Male,45.03554,-93.26289,2,Columbia Park
6891.0,17-001087,2017-01-01 21:27:17,traffic,MDC,,NO,NO,Unknown,White,Female,44.93863463,-93.2779141,5,Lyndale
6892.0,17-001099,2017-01-01 21:32:42,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.98355662,-93.3134127,4,Harrison
6893.0,17-001165,2017-01-01 22:26:58,suspicious,MDC,,NO,NO,Unknown,Black,Male,44.96091,-93.26511,3,Ventura Village
6894.0,17-001189,2017-01-01 22:48:16,traffic,MDC,,NO,NO,White,White,Female,44.98136499,-93.21368718,2,Como
6895.0,17-001190,2017-01-01 22:48:32,suspicious,MDC,,NO,NO,White,White,Male,44.95642818,-93.27786411,5,Whittier
6896.0,17-001203,2017-01-01 22:59:11,traffic,other,,,,,,,44.99507936,-93.25561273,2,St. Anthony East
6897.0,17-001206,2017-01-01 23:01:52,traffic,MDC,,NO,NO,Unknown,Other,Male,44.96826233,-93.28186087,1,Loring Park
6898.0,17-001210,2017-01-01 23:06:49,suspicious,MDC,,NO,NO,Unknown,White,Male,44.98355662,-93.3134127,4,Harrison
6899.0,17-001220,2017-01-01 23:11:39,suspicious,MDC,,YES,NO,Black,Black,Male,44.96091889,-93.2937258,5,East Isles
6900.0,17-001218,2017-01-01 23:12:07,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.9386021,-93.29838599,5,CARAG
6901.0,17-001225,2017-01-01 23:14:50,suspicious,MDC,,NO,NO,Unknown,White,Male,44.95196,-93.2868,5,Whittier
6902.0,17-001231,2017-01-01 23:19:41,suspicious,MDC,,NO,NO,Unknown,White,Male,44.94835,-93.27668,5,Whittier
6903.0,17-001244,2017-01-01 23:39:57,suspicious,MDC,,NO,NO,White,White,Male,44.94044075,-93.27791575,5,Lyndale
6904.0,17-001246,2017-01-01 23:42:53,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.89527691,-93.31628325,5,Armatage
6905.0,17-001247,2017-01-01 23:43:07,traffic,MDC,,NO,NO,Unknown,Black,Male,45.02664866,-93.28807926,4,Webber - Camden
6906.0,17-001248,2017-01-01 23:43:34,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,45.01759598,-93.28650355,4,McKinley
6907.0,17-001249,2017-01-01 23:44:46,traffic,MDC,,NO,NO,Black,Black,Male,44.96269,-93.27656,5,Steven's Square - Loring Heights
6908.0,17-001250,2017-01-01 23:45:03,suspicious,MDC,,YES,NO,Native American,Native American,Female,44.95779751,-93.24733141,3,East Phillips
6909.0,17-001251,2017-01-01 23:45:15,traffic,other,,,,,,,44.97134,-93.24702,1,Cedar Riverside
6910.0,17-001259,2017-01-01 23:53:44,traffic,MDC,,YES,YES,Unknown,Black,Male,45.00783,-93.30821,4,Jordan
6911.0,17-001264,2017-01-01 23:57:43,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,45.01107619,-93.26950762,2,Bottineau
6912.0,17-001269,2017-01-02 00:03:27,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.89927,-93.24731,3,Diamond Lake
6913.0,17-001289,2017-01-02 00:15:37,suspicious,other,,,,,,,45.00494669,-93.27152318,2,Sheridan
6914.0,17-001314,2017-01-02 00:32:10,suspicious,MDC,,NO,NO,Unknown,Unknown,Unknown,44.95284615,-93.25247076,3,Midtown Phillips
6915.0,17-001324,2017-01-02 00:43:48,traffic,MDC,,NO,NO,White,White,Male,44.9951,-93.24225,2,Beltrami
6916.0,17-001327,2017-01-02 00:54:30,traffic,other,,,,,,,45.00307,-93.26616,2,Sheridan
6917.0,17-001340,2017-01-02 01:11:27,suspicious,other,,,,,,,44.98078144,-93.27429567,1,Downtown West
6918.0,17-001360,2017-01-02 01:39:43,suspicious,MDC,,NO,NO,Unknown,White,Male,44.96747488,-93.27781525,1,Loring Park
6919.0,17-001361,2017-01-02 01:43:49,traffic,MDC,,NO,NO,Unknown,Other,Male,44.95374,-93.28552,5,Whittier
6920.0,17-001375,2017-01-02 02:05:46,suspicious,MDC,,NO,NO,Unknown,Black,Male,44.98080828,-93.27314066,1,Downtown West
6921.0,17-001376,2017-01-02 02:07:06,traffic,MDC,,NO,NO,Unknown,East African,Male,44.95195,-93.28299,5,Whittier
